Domain,Solver,Episode,Rewards,Steps
CliffWalking,Q-Learning,405,-13.0,13
CliffWalking,Q-Learning,406,-13.0,13
CliffWalking,Q-Learning,407,-100.0,1
CliffWalking,Q-Learning,408,-15.0,15
CliffWalking,Q-Learning,409,-13.0,13
CliffWalking,Q-Learning,410,-17.0,17
CliffWalking,Q-Learning,411,-15.0,15
CliffWalking,Q-Learning,412,-15.0,15
CliffWalking,Q-Learning,413,-15.0,15
CliffWalking,Q-Learning,414,-109.0,10
CliffWalking,Q-Learning,415,-13.0,13
CliffWalking,Q-Learning,416,-13.0,13
CliffWalking,Q-Learning,417,-116.0,17
CliffWalking,Q-Learning,418,-13.0,13
CliffWalking,Q-Learning,419,-17.0,17
CliffWalking,Q-Learning,420,-13.0,13
CliffWalking,Q-Learning,421,-114.0,15
CliffWalking,Q-Learning,422,-17.0,17
CliffWalking,Q-Learning,423,-15.0,15
CliffWalking,Q-Learning,424,-108.0,9
CliffWalking,Q-Learning,425,-13.0,13
CliffWalking,Q-Learning,426,-15.0,15
CliffWalking,Q-Learning,427,-13.0,13
CliffWalking,Q-Learning,428,-107.0,8
CliffWalking,Q-Learning,429,-13.0,13
CliffWalking,Q-Learning,430,-13.0,13
CliffWalking,Q-Learning,431,-17.0,17
CliffWalking,Q-Learning,432,-15.0,15
CliffWalking,Q-Learning,433,-19.0,19
CliffWalking,Q-Learning,434,-15.0,15
CliffWalking,Q-Learning,435,-13.0,13
CliffWalking,Q-Learning,436,-111.0,12
CliffWalking,Q-Learning,437,-15.0,15
CliffWalking,Q-Learning,438,-100.0,1
CliffWalking,Q-Learning,439,-106.0,7
CliffWalking,Q-Learning,440,-15.0,15
CliffWalking,Q-Learning,441,-14.0,14
CliffWalking,Q-Learning,442,-16.0,16
CliffWalking,Q-Learning,443,-105.0,6
CliffWalking,Q-Learning,444,-15.0,15
CliffWalking,Q-Learning,445,-108.0,9
CliffWalking,Q-Learning,446,-15.0,15
CliffWalking,Q-Learning,447,-13.0,13
CliffWalking,Q-Learning,448,-16.0,16
CliffWalking,Q-Learning,449,-100.0,1
CliffWalking,Q-Learning,450,-15.0,15
CliffWalking,Q-Learning,451,-15.0,15
CliffWalking,Q-Learning,452,-16.0,16
CliffWalking,Q-Learning,453,-111.0,12
CliffWalking,Q-Learning,454,-106.0,7
CliffWalking,Q-Learning,455,-107.0,8
CliffWalking,Q-Learning,456,-13.0,13
CliffWalking,Q-Learning,457,-17.0,17
CliffWalking,Q-Learning,458,-24.0,24
CliffWalking,Q-Learning,459,-15.0,15
CliffWalking,Q-Learning,460,-14.0,14
CliffWalking,Q-Learning,461,-13.0,13
CliffWalking,Q-Learning,462,-13.0,13
CliffWalking,Q-Learning,463,-13.0,13
CliffWalking,Q-Learning,464,-111.0,12
CliffWalking,Q-Learning,465,-15.0,15
CliffWalking,Q-Learning,466,-15.0,15
CliffWalking,Q-Learning,467,-102.0,3
CliffWalking,Q-Learning,468,-110.0,11
CliffWalking,Q-Learning,469,-106.0,7
CliffWalking,Q-Learning,470,-15.0,15
CliffWalking,Q-Learning,471,-13.0,13
CliffWalking,Q-Learning,472,-111.0,12
CliffWalking,Q-Learning,473,-13.0,13
CliffWalking,Q-Learning,474,-105.0,6
CliffWalking,Q-Learning,475,-109.0,10
CliffWalking,Q-Learning,476,-19.0,19
CliffWalking,Q-Learning,477,-13.0,13
CliffWalking,Q-Learning,478,-103.0,4
CliffWalking,Q-Learning,479,-108.0,9
CliffWalking,Q-Learning,480,-15.0,15
CliffWalking,Q-Learning,481,-13.0,13
CliffWalking,Q-Learning,482,-13.0,13
CliffWalking,Q-Learning,483,-16.0,16
CliffWalking,Q-Learning,484,-15.0,15
CliffWalking,Q-Learning,485,-14.0,14
CliffWalking,Q-Learning,486,-15.0,15
CliffWalking,Q-Learning,487,-100.0,1
CliffWalking,Q-Learning,488,-15.0,15
CliffWalking,Q-Learning,489,-13.0,13
CliffWalking,Q-Learning,490,-106.0,7
CliffWalking,Q-Learning,491,-13.0,13
CliffWalking,Q-Learning,492,-13.0,13
CliffWalking,Q-Learning,493,-15.0,15
CliffWalking,Q-Learning,494,-17.0,17
CliffWalking,Q-Learning,495,-13.0,13
CliffWalking,Q-Learning,496,-13.0,13
CliffWalking,Q-Learning,497,-13.0,13
CliffWalking,Q-Learning,498,-13.0,13
CliffWalking,Q-Learning,499,-110.0,11
CliffWalking,Q-Learning,500,-17.0,17
