Domain,Solver,Episode,Rewards,Steps
CliffWalking,Q-Learning,39,-47.0,47
CliffWalking,Q-Learning,40,-25.0,25
CliffWalking,Q-Learning,41,-37.0,37
CliffWalking,Q-Learning,42,-26.0,26
CliffWalking,Q-Learning,43,-16.0,16
CliffWalking,Q-Learning,44,-20.0,20
CliffWalking,Q-Learning,45,-21.0,21
CliffWalking,Q-Learning,46,-104.0,5
CliffWalking,Q-Learning,47,-48.0,48
CliffWalking,Q-Learning,48,-38.0,38
CliffWalking,Q-Learning,49,-18.0,18
CliffWalking,Q-Learning,50,-15.0,15
CliffWalking,Q-Learning,51,-19.0,19
CliffWalking,Q-Learning,52,-13.0,13
CliffWalking,Q-Learning,53,-13.0,13
CliffWalking,Q-Learning,54,-29.0,29
CliffWalking,Q-Learning,55,-108.0,9
CliffWalking,Q-Learning,56,-15.0,15
CliffWalking,Q-Learning,57,-113.0,14
CliffWalking,Q-Learning,58,-27.0,27
CliffWalking,Q-Learning,59,-15.0,15
CliffWalking,Q-Learning,60,-15.0,15
CliffWalking,Q-Learning,61,-25.0,25
CliffWalking,Q-Learning,62,-110.0,11
CliffWalking,Q-Learning,63,-100.0,1
CliffWalking,Q-Learning,64,-13.0,13
CliffWalking,Q-Learning,65,-13.0,13
CliffWalking,Q-Learning,66,-107.0,8
CliffWalking,Q-Learning,67,-111.0,12
CliffWalking,Q-Learning,68,-13.0,13
CliffWalking,Q-Learning,69,-13.0,13
CliffWalking,Q-Learning,70,-22.0,22
CliffWalking,Q-Learning,71,-15.0,15
CliffWalking,Q-Learning,72,-13.0,13
CliffWalking,Q-Learning,73,-13.0,13
CliffWalking,Q-Learning,74,-14.0,14
CliffWalking,Q-Learning,75,-13.0,13
CliffWalking,Q-Learning,76,-13.0,13
CliffWalking,Q-Learning,77,-13.0,13
CliffWalking,Q-Learning,78,-13.0,13
CliffWalking,Q-Learning,79,-109.0,10
CliffWalking,Q-Learning,80,-105.0,6
CliffWalking,Q-Learning,81,-15.0,15
CliffWalking,Q-Learning,82,-109.0,10
CliffWalking,Q-Learning,83,-24.0,24
CliffWalking,Q-Learning,84,-13.0,13
CliffWalking,Q-Learning,85,-22.0,22
CliffWalking,Q-Learning,86,-13.0,13
CliffWalking,Q-Learning,87,-15.0,15
CliffWalking,Q-Learning,88,-15.0,15
CliffWalking,Q-Learning,89,-13.0,13
CliffWalking,Q-Learning,90,-14.0,14
CliffWalking,Q-Learning,91,-15.0,15
CliffWalking,Q-Learning,92,-119.0,20
CliffWalking,Q-Learning,93,-13.0,13
CliffWalking,Q-Learning,94,-15.0,15
CliffWalking,Q-Learning,95,-13.0,13
CliffWalking,Q-Learning,96,-102.0,3
CliffWalking,Q-Learning,97,-13.0,13
CliffWalking,Q-Learning,98,-15.0,15
CliffWalking,Q-Learning,99,-15.0,15
CliffWalking,Q-Learning,100,-112.0,13

CliffWalking,Q-Learning,1,-171.0,171
CliffWalking,Q-Learning,2,-109.0,10
CliffWalking,Q-Learning,3,-100.0,1
CliffWalking,Q-Learning,4,-114.0,15
CliffWalking,Q-Learning,5,-150.0,51
CliffWalking,Q-Learning,6,-106.0,7
CliffWalking,Q-Learning,7,-110.0,11
CliffWalking,Q-Learning,8,-136.0,37
CliffWalking,Q-Learning,9,-111.0,12
CliffWalking,Q-Learning,10,-168.0,69
CliffWalking,Q-Learning,11,-128.0,29
CliffWalking,Q-Learning,12,-113.0,14
CliffWalking,Q-Learning,13,-124.0,25
CliffWalking,Q-Learning,14,-142.0,43
CliffWalking,Q-Learning,15,-123.0,24
CliffWalking,Q-Learning,16,-141.0,42
CliffWalking,Q-Learning,17,-69.0,69
CliffWalking,Q-Learning,18,-189.0,90
CliffWalking,Q-Learning,19,-117.0,18
CliffWalking,Q-Learning,20,-102.0,3
CliffWalking,Q-Learning,21,-101.0,101
CliffWalking,Q-Learning,22,-55.0,55
CliffWalking,Q-Learning,23,-108.0,9
CliffWalking,Q-Learning,24,-70.0,70
CliffWalking,Q-Learning,25,-107.0,8
CliffWalking,Q-Learning,26,-124.0,25
CliffWalking,Q-Learning,27,-78.0,78
CliffWalking,Q-Learning,28,-44.0,44
CliffWalking,Q-Learning,29,-37.0,37
CliffWalking,Q-Learning,30,-46.0,46
CliffWalking,Q-Learning,31,-67.0,67
CliffWalking,Q-Learning,32,-34.0,34
CliffWalking,Q-Learning,33,-64.0,64
CliffWalking,Q-Learning,34,-21.0,21
CliffWalking,Q-Learning,35,-34.0,34
CliffWalking,Q-Learning,36,-93.0,93
CliffWalking,Q-Learning,37,-37.0,37
CliffWalking,Q-Learning,38,-14.0,14
CliffWalking,Q-Learning,39,-40.0,40
CliffWalking,Q-Learning,40,-42.0,42
CliffWalking,Q-Learning,41,-45.0,45
CliffWalking,Q-Learning,42,-104.0,5
CliffWalking,Q-Learning,43,-29.0,29
CliffWalking,Q-Learning,44,-28.0,28
CliffWalking,Q-Learning,45,-41.0,41
CliffWalking,Q-Learning,46,-25.0,25
CliffWalking,Q-Learning,47,-29.0,29
CliffWalking,Q-Learning,48,-102.0,3
CliffWalking,Q-Learning,49,-15.0,15
CliffWalking,Q-Learning,50,-20.0,20
CliffWalking,Q-Learning,51,-26.0,26
CliffWalking,Q-Learning,52,-33.0,33
CliffWalking,Q-Learning,53,-29.0,29
CliffWalking,Q-Learning,54,-13.0,13
CliffWalking,Q-Learning,55,-40.0,40
CliffWalking,Q-Learning,56,-15.0,15
CliffWalking,Q-Learning,57,-19.0,19
CliffWalking,Q-Learning,58,-121.0,22
CliffWalking,Q-Learning,59,-13.0,13
CliffWalking,Q-Learning,60,-23.0,23
CliffWalking,Q-Learning,61,-21.0,21
CliffWalking,Q-Learning,62,-18.0,18
CliffWalking,Q-Learning,63,-23.0,23
CliffWalking,Q-Learning,64,-22.0,22
CliffWalking,Q-Learning,65,-20.0,20
CliffWalking,Q-Learning,66,-111.0,12
CliffWalking,Q-Learning,67,-119.0,20
CliffWalking,Q-Learning,68,-20.0,20
CliffWalking,Q-Learning,69,-111.0,12
CliffWalking,Q-Learning,70,-15.0,15
CliffWalking,Q-Learning,71,-103.0,4
CliffWalking,Q-Learning,72,-15.0,15
CliffWalking,Q-Learning,73,-15.0,15
CliffWalking,Q-Learning,74,-13.0,13
CliffWalking,Q-Learning,75,-13.0,13
CliffWalking,Q-Learning,76,-13.0,13
CliffWalking,Q-Learning,77,-16.0,16
CliffWalking,Q-Learning,78,-19.0,19
CliffWalking,Q-Learning,79,-13.0,13
CliffWalking,Q-Learning,80,-108.0,9
CliffWalking,Q-Learning,81,-13.0,13
CliffWalking,Q-Learning,82,-14.0,14
CliffWalking,Q-Learning,83,-13.0,13
CliffWalking,Q-Learning,84,-14.0,14
CliffWalking,Q-Learning,85,-15.0,15
CliffWalking,Q-Learning,86,-13.0,13
CliffWalking,Q-Learning,87,-115.0,16
CliffWalking,Q-Learning,88,-13.0,13
CliffWalking,Q-Learning,89,-108.0,9
CliffWalking,Q-Learning,90,-13.0,13
CliffWalking,Q-Learning,91,-17.0,17
CliffWalking,Q-Learning,92,-13.0,13
CliffWalking,Q-Learning,93,-17.0,17
CliffWalking,Q-Learning,94,-107.0,8
CliffWalking,Q-Learning,95,-106.0,7
CliffWalking,Q-Learning,96,-18.0,18
CliffWalking,Q-Learning,97,-21.0,21
CliffWalking,Q-Learning,98,-17.0,17
CliffWalking,Q-Learning,99,-109.0,10
CliffWalking,Q-Learning,100,-103.0,4
CliffWalking,Q-Learning,101,-13.0,13
CliffWalking,Q-Learning,102,-17.0,17
CliffWalking,Q-Learning,103,-15.0,15
CliffWalking,Q-Learning,104,-13.0,13
CliffWalking,Q-Learning,105,-100.0,1
CliffWalking,Q-Learning,106,-13.0,13
CliffWalking,Q-Learning,107,-102.0,3
CliffWalking,Q-Learning,108,-19.0,19
CliffWalking,Q-Learning,109,-19.0,19
CliffWalking,Q-Learning,110,-19.0,19
CliffWalking,Q-Learning,111,-23.0,23
CliffWalking,Q-Learning,112,-16.0,16
CliffWalking,Q-Learning,113,-108.0,9
CliffWalking,Q-Learning,114,-15.0,15
CliffWalking,Q-Learning,115,-15.0,15
CliffWalking,Q-Learning,116,-100.0,1
CliffWalking,Q-Learning,117,-105.0,6
CliffWalking,Q-Learning,118,-123.0,24
CliffWalking,Q-Learning,119,-15.0,15
CliffWalking,Q-Learning,120,-13.0,13
CliffWalking,Q-Learning,121,-14.0,14
CliffWalking,Q-Learning,122,-108.0,9
CliffWalking,Q-Learning,123,-15.0,15
CliffWalking,Q-Learning,124,-106.0,7
CliffWalking,Q-Learning,125,-102.0,3
CliffWalking,Q-Learning,126,-21.0,21
CliffWalking,Q-Learning,127,-18.0,18
CliffWalking,Q-Learning,128,-112.0,13
CliffWalking,Q-Learning,129,-111.0,12
CliffWalking,Q-Learning,130,-13.0,13
CliffWalking,Q-Learning,131,-21.0,21
CliffWalking,Q-Learning,132,-17.0,17
CliffWalking,Q-Learning,133,-15.0,15
CliffWalking,Q-Learning,134,-17.0,17
CliffWalking,Q-Learning,135,-13.0,13
CliffWalking,Q-Learning,136,-13.0,13
CliffWalking,Q-Learning,137,-18.0,18
CliffWalking,Q-Learning,138,-118.0,19
CliffWalking,Q-Learning,139,-13.0,13
CliffWalking,Q-Learning,140,-18.0,18
CliffWalking,Q-Learning,141,-112.0,13
CliffWalking,Q-Learning,142,-13.0,13
CliffWalking,Q-Learning,143,-106.0,7
CliffWalking,Q-Learning,144,-13.0,13
CliffWalking,Q-Learning,145,-13.0,13
CliffWalking,Q-Learning,146,-15.0,15
CliffWalking,Q-Learning,147,-106.0,7
CliffWalking,Q-Learning,148,-113.0,14
CliffWalking,Q-Learning,149,-13.0,13
CliffWalking,Q-Learning,150,-15.0,15
CliffWalking,Q-Learning,151,-15.0,15
CliffWalking,Q-Learning,152,-13.0,13
CliffWalking,Q-Learning,153,-100.0,1
CliffWalking,Q-Learning,154,-17.0,17
CliffWalking,Q-Learning,155,-100.0,1
CliffWalking,Q-Learning,156,-111.0,12
CliffWalking,Q-Learning,157,-105.0,6
CliffWalking,Q-Learning,158,-13.0,13
CliffWalking,Q-Learning,159,-15.0,15
CliffWalking,Q-Learning,160,-15.0,15
CliffWalking,Q-Learning,161,-17.0,17
CliffWalking,Q-Learning,162,-109.0,10
CliffWalking,Q-Learning,163,-13.0,13
CliffWalking,Q-Learning,164,-15.0,15
CliffWalking,Q-Learning,165,-13.0,13
CliffWalking,Q-Learning,166,-14.0,14
CliffWalking,Q-Learning,167,-14.0,14
CliffWalking,Q-Learning,168,-18.0,18
CliffWalking,Q-Learning,169,-21.0,21
CliffWalking,Q-Learning,170,-13.0,13
CliffWalking,Q-Learning,171,-13.0,13
CliffWalking,Q-Learning,172,-15.0,15
CliffWalking,Q-Learning,173,-104.0,5
CliffWalking,Q-Learning,174,-15.0,15
CliffWalking,Q-Learning,175,-13.0,13
CliffWalking,Q-Learning,176,-20.0,20
CliffWalking,Q-Learning,177,-107.0,8
CliffWalking,Q-Learning,178,-13.0,13
CliffWalking,Q-Learning,179,-13.0,13
CliffWalking,Q-Learning,180,-13.0,13
CliffWalking,Q-Learning,181,-15.0,15
CliffWalking,Q-Learning,182,-15.0,15
CliffWalking,Q-Learning,183,-13.0,13
CliffWalking,Q-Learning,184,-15.0,15
CliffWalking,Q-Learning,185,-13.0,13
CliffWalking,Q-Learning,186,-107.0,8
CliffWalking,Q-Learning,187,-13.0,13
CliffWalking,Q-Learning,188,-15.0,15
CliffWalking,Q-Learning,189,-13.0,13
CliffWalking,Q-Learning,190,-13.0,13
CliffWalking,Q-Learning,191,-13.0,13
CliffWalking,Q-Learning,192,-15.0,15
CliffWalking,Q-Learning,193,-13.0,13
CliffWalking,Q-Learning,194,-13.0,13
CliffWalking,Q-Learning,195,-106.0,7
CliffWalking,Q-Learning,196,-13.0,13
CliffWalking,Q-Learning,197,-13.0,13
CliffWalking,Q-Learning,198,-113.0,14
CliffWalking,Q-Learning,199,-106.0,7
CliffWalking,Q-Learning,200,-15.0,15
CliffWalking,Q-Learning,201,-15.0,15
CliffWalking,Q-Learning,202,-100.0,1
CliffWalking,Q-Learning,203,-15.0,15
CliffWalking,Q-Learning,204,-13.0,13
CliffWalking,Q-Learning,205,-13.0,13
CliffWalking,Q-Learning,206,-105.0,6
CliffWalking,Q-Learning,207,-15.0,15
CliffWalking,Q-Learning,208,-13.0,13
CliffWalking,Q-Learning,209,-13.0,13
CliffWalking,Q-Learning,210,-13.0,13
CliffWalking,Q-Learning,211,-18.0,18
CliffWalking,Q-Learning,212,-15.0,15
CliffWalking,Q-Learning,213,-13.0,13
CliffWalking,Q-Learning,214,-13.0,13
CliffWalking,Q-Learning,215,-15.0,15
CliffWalking,Q-Learning,216,-15.0,15
CliffWalking,Q-Learning,217,-13.0,13
CliffWalking,Q-Learning,218,-100.0,1
CliffWalking,Q-Learning,219,-19.0,19
CliffWalking,Q-Learning,220,-18.0,18
CliffWalking,Q-Learning,221,-104.0,5
CliffWalking,Q-Learning,222,-111.0,12
CliffWalking,Q-Learning,223,-13.0,13
CliffWalking,Q-Learning,224,-17.0,17
CliffWalking,Q-Learning,225,-13.0,13
CliffWalking,Q-Learning,226,-17.0,17
